item_name,is_expense,quantity,sum_of_one
Воздушные шарики,false,4300,4
Автоматы с мороженным,true,10,14500
Продажа мороженного,false,850,100
Автоматы с батончиками,true,9,12000
Продажа батончиков,false,1550,6
Автоматы с газировкой,true,50,14000
Продажа газировки,false,690,8
Прилавок с конфетами,true,8,18000
Продажа конфет,false,145000,3
Продажа плюшевых игрушек,false,330,270
Продажа мыльных пузерей,false,350,22
Аппарат с сахарной ватой,true,13,17400
Продажа сахарной ваты,false,530,8
Продажа чипсов,false,1200,6
Продажа арахиса,false,460,4
Продажа печенья,false,320,3
Прилавок с сувенирами,true,5,20500
Продажа сувениров,false,4550,149
Продажа подарочных карт,false,650,95
